GENERIC NAME,BRAND NAME,RESTRICTION CRITERIA
ABATACEPT,ORENCIA,Restricted to pediatric inpatients with polyarticular Juvenile Idiopathic Arthritis (JIA) who have had inadequate response to one or more Disease Modifying Antirheumatic Drugs (DMARDs)
ACITRETIN,SORIATANE,Restricted to indications outlined in the BCCA Benefit Drug List AND patients who are registered with BCCA
ADEFOVIR,HEPSERA,Restricted to indications outlined by BC Transplant Society (BCTS)
AMINOLEVULINIC ACID,,Restricted to indications outlined in the BCCA Benefit Drug List AND patients who are registered with BCCA
AMPHOTERICIN B LIPOSOMAL,AMBISOME,Restricted to patients with intolerance or contraindications to amphotericin B
ANAGRELIDE,AGRYLIN,Restricted to indications outlined in the BCCA Benefit Drug List AND patients who are registered with BCCA
ANAKINRA,KINERET,Restricted to pediatric inpatients with systemic onset juvenile idiopathic arthritis (SOJIA) and prominent systemic symptoms OR pediatric inpatients with auto-inflammatory disease / periodic fever syndromes
ANTITHYMOCYTE GLOBULIN (EQUINE),ATGAM,Restricted to treatment of aplastic anemia OR pediatric bone marrow transplant (BMT) OR pediatric stem cell transplant (SCT) patients
ANTITHYMOCYTE GLOBULIN (RABBIT),THYMOGLOBULIN,Restricted to bone marrow transplant (BMT) OR solid organ transplant (SOT) OR stem cell transplant OR aplastic anemia with treatment failure or intolerance to antithymocyte globulin equine
APREPITANT,EMEND,"Restricted to patients receiving highly emetogenic chemotherapy as per protocols from BCCA, BCCH, or Leukemia/Bone Marrow Transplant unit"
ARGATROBAN,ARGATROBAN,Restricted for prophylaxis and treatment of venous thromboembolism (VTE) in patients with heparin induced thrombocytopenia (HIT)
ARIPIPRAZOLE,ABILIFY,Patient specific diagnosis identified as schizophrenia or other psychosis (not dementia related) PLUS treatment failure or intolerance to another specified anti-psychotic agent.
ATOMOXETINE,STRATTERA,Restricted to treatment of ADHD in pediatrics
ATOVAQUONE,MEPRON,Restricted to approval of the Centre for Excellence (CFE) in HIV/AIDS
BASILIXIMAB,SIMULECT,Restricted to indications outlined by BCTS OR leukemia/BMT patients with steroid-refractory acute graft versus host disease (GVHD)
BECLOMETHASONE,QVAR,Restricted to HIV / AIDS patients with highly active anti-retroviral therapy (HAART)
BIVALIRUDIN,ANGIOMAX,Restricted to use in patients with unstable angina undergoing percutaneous coronary interventions (PCI)
BLEOMYCIN,BLENOXANE,Restricted to indications outlined in the BCCA Benefit Drug List AND patients who are registered with BCCA OR as a sclerosing agent for vascular malformations or cystic lesions OR malignant pleural effusions
BOSENTAN,TRACLEER,Restricted to treatment of pulmonary arterial hypertension (PAH)
BOTULINUM TOXIN TYPE A,BOTOX,Restricted to spasticity OR esophageal sphincter disorders causing dysphagia OR strabismus
BUPRENORPHINE/NALOXONE,SUBOXONE,Restricted to physicians with a methadone exemption for opioid dependence when methadone is contraindicated or where there is an inadequate response or intolerance to methadone
CABERGOLINE,DOSTINEX,Restricted to indications outlined in the BCCA Benefit Drug List AND patients who are registered with BCCA OR for prolactin suppression
CANNABIDIOL+TETRA HYDROCANNABINOL,SATIVEX,Restricted to complex/chronic pain or palliative care patients
CARBETOCIN,DURATOCIN INJECTION,Restricted to prevention of uterine atony and postpartum hemorrhage following elective caesarean section in women with one or more risk factors for postpartum hemorrhage and may be considered for urgent or emergent caesarean section
CASPOFUNGIN,CANCIDAS,Restricted to pediatric patients with fungal infections that are known or suspected to be resistant to fluconazole OR in pediatric patients intolerant to fluconazole
CEFEPIME,MAXIPIME,Restricted for use as monotherapy in patients with chemotherapy- induced febrile neutropenia OR in patients with cystic fibrosis
cefOXItin,MEFOXIN,Restricted to gynecological / obstetrical infections OR neonates / pediatrics OR infections due to Mycobacterium abscessus
CICLESONIDE,ALVESCO,Restricted to patients 6 to 18 years old OR to HIV/AIDS patients on highly active anti-retroviral therapy (HAART)
CINACALCET,SENSIPAR,Restricted to indications outlined by BCPRA AND patients who are registered with BCPRA
CLODRONATE,BONEFOS,Restricted to indications outlined in the BCCA Benefit Drug List AND patients who are registered with BCCA
COLISTIMETHATE,COLY-MYCIN M,Restricted to treatment of pneumonia in cystic fibrosis patients
COLLAGENASE,SANTYL,Restricted for debridement of dermal ulcers
CYPROTERONE oral,ANDROCUR,Restricted to forensic patients
DABIGATRAN,PRADAXA,Restricted to continuity of care for patients receiving dabigatran prior to admission
DANAPAROID,ORGARAN,Restricted for prophylaxis and treatment of venous thromboembolism (VTE) in patients with heparin induced thrombocytopenia (HIT)
DAPTOMYCIN,CUBICIN,Restricted to infections caused by gram positive organisms that are resistant to vancomycin and linezolid OR in patients intolerant to vancomycin and linezolid
DARBEPOETIN,ARANESP,Restricted to indications outlined by BCPRA AND patients who are registered with BCPRA
DEXMEDETOMIDINE,PRECEDEX,"Restricted to use in Intensive Care Unit, Cardiac Surgery Intensive Care Unit and High Acuity Unit for patients with the following criteria:"
,,·         Post-operative cardiovascular/vascular surgery patients requiring mechanical ventilation OR
,,"·         Patients who are being mechanically ventilated with confirmed delirium, and who are refractory, or have had an inadequate response, to a trial of propofol and/or antipsychotic agent OR"
,,·             Patients in whom extubation is anticipated within 24-hours (i.e. approximate duration of dexmedetomidine use limited to 24 hours) OR
,,·         Sedation for invasive procedures or awake fibre-optic intubation in critical care patients for whom other agents are not appropriate due to lack of efficacy or adverse effects
DEXRAZOXANE,ZINECARD,Restricted to indications outlined in the BCCA Benefit Drug List AND patients who are registered with BCCA
ETIDRONATE/CALCIUM KIT,DIDROCAL,Restricted to residential care
DIGOXIN IMMUNE FAB,DIGIFAB,Restricted to use approved by BC Drug and Poison Information Centre (DPIC) (part of BC Poison Control Antidote Replacement Programme)
DOLUTEGRAVIR,TIVICAY,Restricted to approval of the Centre for Excellence (CFE) in HIV/AIDS
